ID,Staff,BirthYear,Gender,Marital,Citizenship,Minority,JoinDate,LeftDate,Unit,Salary,PerformanceScore,Survey,Satisfaction,Absence,,,,
217,Sid Ali,4/26/1984,M ,Divorced,Citizen,No,1/6/2014,,Admin ,64520,Meet,5,4,3,,Unit,Avg Satisfaction,Avg Survey
18,Anish Hoover,1/7/1988,M ,Divorced,Citizen,No,1/5/2015,,IT,50178,Meet,5,5,16,,Admin,4.142857143,4.482857143
82,Hamza Langley,1/4/1964,M ,Divorced,Citizen,No,1/9/2012,11/4/2015,IT,148999,Meet,4.3,4,8,,Engineering,3.9,4.44
103,Jardel Nielsen,7/4/1988,M ,Divorced,PR,No,11/10/2014,,IT,92328,Exceed,4.28,4,9,,IT,3.756097561,4.084390244
242,Warwick Byrne,12/17/1987,M ,Divorced,Citizen,No,1/5/2015,10/31/2015,IT,88527,Meet,4.2,3,2,,Manufacturing,3.964497041,4.203254438
5,Ace Potter,9/8/1989,F,Divorced,Citizen,No,7/11/2011,9/6/2020,Manufacturing,50825,Meet,5,4,2,,Sales,4.090909091,4.078181818
6,Adaline Deacon,7/30/1983,F,Divorced,Citizen,No,1/10/2011,5/14/2012,Manufacturing,58062,Meet,3.6,5,9,,,,
12,Allison Byers,10/15/1984,F,Divorced,PR,No,5/16/2011,6/4/2018,Manufacturing,46799,Meet,3.17,4,14,,,,
22,Aroush Fernandez,8/25/1982,F,Divorced,Citizen,No,1/10/2011,,Manufacturing,47961,Meet,4.1,4,9,,,,
44,Chelsy Melton,9/5/1981,F,Divorced,PR,No,9/26/2011,10/22/2011,Manufacturing,64971,Meet,4.5,4,10,,Marital Status,Avg Absence,
55,Declan Delgado,12/17/1975,M ,Divorced,Citizen,No,7/20/2010,,Manufacturing,68051,To Improve,4.13,2,3,,Divorced,9.576923077,
56,Deen Kerr,7/11/1981,M ,Divorced,Citizen,No,6/2/2015,,Manufacturing,62957,Meet,4.63,3,2,,Married,11.09574468,
